"ds","y","cap"
"1963-04-01",18.08121823,25.667
"1963-05-01",20.8664812,25.667
"1963-06-01",22.50891083,25.667
"1963-07-01",23.55039031,25.667
"1963-08-01",23.20888148,25.667
"1963-09-01",21.75861652,25.667
"1963-10-01",18.85914843,25.667
"1963-11-01",15.91335954,25.667
"1963-12-01",11.56082507,25.667
"1964-01-01",10.73739459,25.676
"1964-02-01",11.62312308,25.676
"1964-03-01",14.96531681,25.676
"1964-04-01",18.51462934,25.676
"1964-05-01",20.99879088,25.676
"1964-06-01",22.46489202,25.676
"1964-07-01",23.20203447,25.676
"1964-08-01",22.99094046,25.676
"1964-09-01",21.37900114,25.676
"1964-10-01",18.14960199,25.676
"1964-11-01",14.95812051,25.676
"1964-12-01",11.87642536,25.676
"1965-01-01",11.26388974,25.685
"1965-02-01",11.84617208,25.685
